Name,,,,,,,,,,,,,Ticker
GENSIGHT BIOLOGICS,FR0013183985,SIGHT,Euronext Paris,EUR,5.34,5.47,5.16,5.2,05/12/2017 17:35,CET,96118,505863.07,xpar:SIGHT
RECYLEX S.A.,FR0000120388,RX,Euronext Paris,EUR,12.67,12.76,12.45,12.59,05/12/2017 17:36,CET,95043,1193663.9,xpar:RX
COFACE,FR0010667147,COFA,Euronext Paris,EUR,9.25,9.3,9.11,9.17,05/12/2017 17:35,CET,91737,843316.81,xpar:COFA
EURONEXT,NL0006294274,ENX,"Euronext Paris, Amsterdam, Brussels",EUR,50.85,51,50.3,50.47,05/12/2017 17:35,CET,88565,4473676.62,xpar:ENX
NICOX,FR0013018124,COX,Euronext Paris,EUR,10.15,10.275,10.015,10.065,05/12/2017 17:35,CET,87249,880996.71,xpar:COX
GECINA NOM.,FR0010040865,GFC,Euronext Paris,EUR,140.15,142.2,140.05,142.2,05/12/2017 17:35,CET,86551,12275529.1,xpar:GFC
MAISONS DU MONDE,FR0013153541,MDM,Euronext Paris,EUR,34.365,34.38,33.7,34.16,05/12/2017 17:37,CET,85821,2923207.595,xpar:MDM
PROLOGUE,FR0010380626,PROL,Euronext Paris,EUR,0.71,0.71,0.69,0.71,05/12/2017 17:35,CET,84963,59335.59,xpar:PROL
INSIDE SECURE,FR0010291245,INSD,Euronext Paris,EUR,2.71,2.72,2.62,2.67,05/12/2017 17:35,CET,84629,224874.97,xpar:INSD
ILIAD,FR0004035913,ILD,Euronext Paris,EUR,197.6,199.2,197,198.15,05/12/2017 17:35,CET,82858,16419614.65,xpar:ILD
EURAZEO,FR0000121121,RF,Euronext Paris,EUR,74,74.23,73.68,73.85,05/12/2017 17:35,CET,80008,5911897.82,xpar:RF
ADP,FR0010340141,ADP,Euronext Paris,EUR,161.35,163.25,161.35,162.85,05/12/2017 17:35,CET,79806,12982156.25,xpar:ADP
FONC. PARIS NORD,FR0011277391,FPN,Euronext Paris,EUR,0.04,0.04,0.03,0.03,05/12/2017 15:49,CET,78152,2684.4,xpar:FPN
ARCHOS,FR0000182479,JXR,Euronext Paris,EUR,0.68,0.68,0.67,0.67,05/12/2017 17:35,CET,77735,52392.08,xpar:JXR
REMY COINTREAU,FR0000130395,RCO,Euronext Paris,EUR,110.6,112.6,110.5,112.1,05/12/2017 17:35,CET,74484,8327657.45,xpar:RCO
GENFIT,FR0004163111,GNFT,Euronext Paris,EUR,22.57,22.78,22.38,22.52,05/12/2017 17:35,CET,74002,1667616.21,xpar:GNFT
MAUREL ET PROM,FR0000051070,MAU,Euronext Paris,EUR,3.54,3.56,3.54,3.54,05/12/2017 17:35,CET,73402,260403.04,xpar:MAU
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR,6.3,6.35,6.25,6.25,05/12/2017 17:35,CET,69723,438921.64,xpar:ABCA
SERGEFERRARI GROUP,FR0011950682,SEFER,Euronext Paris,EUR,11.14,11.14,11.1,11.1,05/12/2017 17:36,CET,65479,726823.44,xpar:SEFER
GTT,FR0011726835,GTT,Euronext Paris,EUR,45.975,46.85,45.975,46.505,05/12/2017 17:35,CET,65093,3025783.545,xpar:GTT
CHARGEURS,FR0000130692,CRI,Euronext Paris,EUR,23.82,23.95,23.47,23.53,05/12/2017 17:35,CET,64656,1532157.2,xpar:CRI
PIXIUM VISION,FR0011950641,PIX,Euronext Paris,EUR,2.88,2.88,2.66,2.7,05/12/2017 17:35,CET,62945,173285.2,xpar:PIX
SMCP,FR0013214145,SMCP,Euronext Paris,EUR,19.155,19.215,18.605,18.8,05/12/2017 17:35,CET,62690,1191105.755,xpar:SMCP
SUPERSONIC IMAGINE,FR0010526814,SSI,Euronext Paris,EUR,1.95,1.95,1.87,1.95,05/12/2017 17:29,CET,62396,119839.65,xpar:SSI
FUTUREN,FR0011284991,FTRN,Euronext Paris,EUR,1.13,1.14,1.12,1.13,05/12/2017 17:28,CET,60944,68879.06,xpar:FTRN
METROPOLE TV,FR0000053225,MMT,Euronext Paris,EUR,21.7,21.97,21.67,21.73,05/12/2017 17:35,CET,60755,1322102.85,xpar:MMT
TXCELL,FR0010127662,TXCL,Euronext Paris,EUR,1.48,1.49,1.44,1.47,05/12/2017 17:35,CET,57668,85030.43,xpar:TXCL
VALNEVA,FR0004056851,VLA,Euronext Paris,EUR,2.91,2.91,2.88,2.9,05/12/2017 17:35,CET,55152,159690.84,xpar:VLA
EULER HERMES GROUP,FR0004254035,ELE,Euronext Paris,EUR,121.9,121.9,121.55,121.6,05/12/2017 17:35,CET,54676,6650221.6,xpar:ELE
ALBIOMA,FR0000060402,ABIO,Euronext Paris,EUR,19.66,19.92,19.62,19.81,05/12/2017 17:35,CET,51546,1019302.83,xpar:ABIO
METABOLIC EXPLORER,FR0004177046,METEX,Euronext Paris,EUR,2.26,2.26,2.22,2.22,05/12/2017 17:35,CET,50944,113753.15,xpar:METEX
WENDEL,FR0000121204,MF,Euronext Paris,EUR,141.15,141.6,140.85,141.15,05/12/2017 17:35,CET,50916,7188215.8,xpar:MF
IMERYS,FR0000120859,NK,Euronext Paris,EUR,76.85,77.33,76.55,76.8,05/12/2017 17:35,CET,50843,3906963.38,xpar:NK
SARTORIUS STED BIO,FR0013154002,DIM,Euronext Paris,EUR,60.27,60.31,59.9,60.1,05/12/2017 17:35,CET,49597,2981358.82,xpar:DIM
HUBWOO,FR0004052561,HBW,Euronext Paris,EUR,0.16,0.16,0.16,0.16,18/10/2017 14:14,CET,49400,7904,xpar:HBW
DIRECT ENERGIE,FR0004191674,DIREN,Euronext Paris,EUR,36.94,36.94,36.065,36.425,05/12/2017 17:35,CET,49169,1794989.65,xpar:DIREN
NEXITY,FR0010112524,NXI,Euronext Paris,EUR,50.6,50.88,50.34,50.8,05/12/2017 17:35,CET,47249,2392262.72,xpar:NXI
WORLDLINE,FR0011981968,WLN,Euronext Paris,EUR,41.83,41.85,41.075,41.13,05/12/2017 18:31,CET,46947,1939429.425,xpar:WLN
RIBER,FR0000075954,RIB,Euronext Paris,EUR,3.93,3.94,3.77,3.8,05/12/2017 17:35,CET,45312,173707.91,xpar:RIB
