,Name,Category Name,,Ticker
RNO.MI,Renault SA,Auto Manufacturers - Major,RNO,xmil:RNO
FUL.MI,FullSix S.p.A.,Marketing Services,FUL,xmil:FUL
GAB.MI,Gabetti Property Solutions S.p.A.,Real Estate Development,GAB,xmil:GAB
GAMB.MI,Gambero Rosso SpA,Publishing - Newspapers,GAMB,xmil:GAMB
GALA.MI,Gala S.p.A.,Diversified Utilities,GALA,xmil:GALA
GEO.MI,Geox S.p.A.,Textile - Apparel Footwear & Accessories,GEO,xmil:GEO
GE.MI,Gefran S.p.A.,Diversified Machinery,GE,xmil:GE
SGR.MI,SAES Getters S.p.A.,Diversified Electronics,SGR,xmil:SGR
SG.MI,SAES Getters S.p.A.,Diversified Electronics,SG,xmil:SG
GGP.MI,Gruppo Green Power S.p.A.,Diversified Utilities,GGP,xmil:GGP
GGTV.MI,Giglio Group S.p.A.,Broadcasting - TV,GGTV,xmil:GGTV
GO.MI,GO internet S.p.A.,Internet Information Providers,GO,xmil:GO
LMG.MI,Lucisano Media Group S.p.A.,Entertainment - Diversified,LMG,xmil:LMG
IIG.MI,Italia Independent Group S.p.A.,Apparel Stores,IIG,xmil:IIG
IGD.MI,Immobiliare Grande Distribuzione Società di Investimento Immobiliare Quotata S.p.A.,REIT - Diversified,IGD,xmil:IGD
IGV.MI,iGrandiViaggi S.p.A.,Resorts & Casinos,IGV,xmil:IGV
IIN.MI,Industria e Innovazione S.p.A.,Real Estate Development,IIN,xmil:IIN
IMA.MI,I.M.A. Industria Macchine Automatiche S.p.A.,Diversified Machinery,IMA,xmil:IMA
IMS.MI,Immsi S.p.A.,Auto Manufacturers - Major,IMS,xmil:IMS
IP.MI,Interpump Group S.p.A.,Diversified Machinery,IP,xmil:IP
IRE.MI,Iren SpA,Diversified Utilities,IRE,xmil:IRE
IRC.MI,IRCE S.p.A.,Diversified Machinery,IRC,xmil:IRC
ISPR.MI,Intesa Sanpaolo S.p.A.,Money Center Banks,ISPR,xmil:ISPR
ISP.MI,Intesa Sanpaolo S.p.A.,Money Center Banks,ISP,xmil:ISP
ISG.MI,Isagro S.p.A.,Agricultural Chemicals,ISG,xmil:ISG
ISGS.MI,Isagro S.p.A.,Agricultural Chemicals,ISGS,xmil:ISGS
SRN.MI,Sorin SpA,,SRN,xmil:SRN
STEF.MI,Stefanel S.p.A.,Textile - Apparel Clothing,STEF,xmil:STEF
SRG.MI,Snam S.p.A.,Gas Utilities,SRG,xmil:SRG
SO.MI,Sogefi S.p.A.,Auto Parts,SO,xmil:SO
PR.MI,Premuda SpA,,PR,xmil:PR
