,Ticker,Name
PZS:xetr,xetr:PZS,Scherzer & Co. AG
QB7:xetr,xetr:QB7,Quirin Privatbank AG
QGEN:xetr,xetr:QIA,Qiagen NV
QSC:xetr,xetr:QSC,QSC AG
R6C:xetr,xetr:R6C,Royal Dutch Shell Plc A
RAA:xetr,xetr:RAA,Rational AG
RAW:xetr,xetr:RAW,Raiffeisen Bank International AG
RHMG:xetr,xetr:RHM,Rheinmetall AG
RHO:xetr,xetr:RHO,Roche Holding AG
RHO5:xetr,xetr:RHO5,Roche Holding AG
RIB:xetr,xetr:RIB,RIB Software AG
RIO1:xetr,xetr:RIO1,Rio Tinto Plc
RKET:xetr,xetr:RKET,Rocket Internet AG
RNY:xetr,xetr:RNY,Yamana Gold Inc.
RRTL:xetr,xetr:RRTL,RTL Group SA
RSL2:xetr,xetr:RSL2,R. Stahl AG
RTC:xetr,xetr:RTC,Realtech AG
RWE:xetr,xetr:RWE,RWE AG St
RWE3:xetr,xetr:RWE3,RWE AG Vz
RYS1:xetr,xetr:RYS1,Royal Bank of Scotland Group Plc
S26A:xetr,xetr:S26A,Pyrolyx AG
S4A:xetr,xetr:S4A,SMT Scharf AG
S4K:xetr,xetr:S4K,SHF Communication Technologies
S92:xetr,xetr:S92,SMA Solar Technology AG
SAC:xetr,xetr:SAC,Sanochemia Pharmazeutica AG
SAE:xetr,xetr:SAE,Shop Apotheke Europe NV
SANT:xetr,xetr:SANT,S & T AG
SAPG:xetr,xetr:SAP,SAP SE
SAX:xetr,xetr:SAX,Stroeer SE
SBS:xetr,xetr:SBS,Stratec Biomedical Systems AG
SDFG:xetr,xetr:SDF,K+S Aktiengesellschaft
SEN:xetr,xetr:SEN,Senvion SA
SFO:xetr,xetr:SFO,Softship AG
SFQ:xetr,xetr:SFQ,SAF Holland SA
SGCG:xetr,xfra:SGLN,SGL Carbon
SHA:xetr,xetr:SHA,Schaeffler AG - Preferred Share
SHF:xetr,xetr:SHF,Schneider Neureither & Partner AG
SHWK:xetr,xetr:SHWK,SHS VIVEON AG
SIE:xetr,xetr:SIE,Siemens AG
SII:xetr,xetr:SII,Wheaton Precious Metals Corp.
SIS:xetr,xetr:SIS,First Sensor International AG
SIX2:xetr,xetr:SIX2,Sixt SE
SK1:xetr,xetr:SK1A,SKW Stahl-Metallurgie Holding AG
SKB:xetr,xetr:SKB,Koenig & Bauer AG
SLT:xetr,xetr:SLT,Schaltbau Holding AG
SMHNn:xetr,xetr:SMHN,Suess Microtec AG
SNGG:xetr,xetr:SNG,Singulus Technologies AG
SNH:xetr,xetr:SNH,Steinhoff International Holdings NV
SOBA:xetr,xetr:SOBA,AT&T Inc.
SOW:xetr,xetr:SOW,Software AG
SPR:xetr,xetr:SPR,Axel Springer SE
SRB:xetr,xetr:SRB,Starbucks Corp.
SRT:xetr,xetr:SRT,Sartorius AG St
SRT3:xetr,xetr:SRT3,Sartorius AG Vz
ST5:xetr,xetr:ST5,Steico SE
STAGn:xetr,xham:SAZ,STADA Arzneimittel AG
STM:xetr,xetr:STM,Stabilus SA
STO3:xetr,xetr:STO3,STO SE & Co. KGaA
SUR:xetr,xetr:SUR,SURTECO SE
SVJ:xetr,xetr:SVJ,Syngenta AG
SW1:xetr,xetr:SW1,SHW
SWA:xetr,xetr:SWA,Schloss Wachenheim AG
SY1:xetr,xetr:SY1,Symrise AG
SYT:xetr,xetr:SYT,Softing AG
SYZ:xetr,xetr:SYZ,Syzygy AG
SZGG:xetr,xetr:SZG,Salzgitter AG
SZUG:xetr,xetr:SZU,Suedzucker AG
SZZ:xetr,xetr:SZZ,SinnerSchrader AG
T3T:xetr,xetr:T3T1,Seven Principles AG
T5O:xetr,xetr:T5O,CytoTools AG
TC1:xetr,xetr:TC1,Tele Columbus AG
TCO:xetr,xetr:TCO,Tesco Plc
TEG:xetr,xetr:TEG,TAG Tegernsee Immobilien u. Beteiligungs AG
TGHN:xetr,xetr:TGHN,Logwin AG
TGT:xetr,xetr:TGT,11 88 0 Solutions AG
TIM:xetr,xetr:TIM,ZEAL Network SE
TINA:xetr,xetr:TINA,Baumot Group AG
TKA:xetr,xetr:TKA,Thyssen Krupp AG
TL0:xetr,xetr:TL0,Tesla Inc.
TLG:xetr,xetr:TLG,TLG Immobilien AG
TLI:xetr,xetr:TLI,Teles AG
TLX:xetr,xetr:TLX,Talanx AG
TNE5:xetr,xetr:TNE5,Telefonica SA
TPE:xetr,xetr:TPE,PVA TePla AG
TQI:xetr,xetr:TQI,Telecom Italia SpA
TTI:xetr,xetr:TTI,TOM TAILOR Holding AG
TTK:xetr,xetr:TTK,TAKKT AG
TTR1:xetr,xetr:TTR1,Technotrans AG
UHR:xetr,xetr:UHR,The Swatch Group Ltd
ULC:xetr,xetr:ULC,United Labels AG
UMD:xetr,xetr:UMD,UMT United Mobility Technology AG
UN01:xetr,xetr:UN01,Uniper SE
USE:xetr,xetr:USE,Beate Uhse AG
UTDI:xetr,xetr:UTDI,United Internet AG
UUU:xetr,xetr:UUU,3U Holding AG
UZU:xetr,xetr:UZU,Uzin Utz AG
V3S:xetr,xetr:V3S,Vectron Systems AG
V3V:xetr,xetr:V3V,VITA 34 INTL N
V6C:xetr,xetr:V6C,Viscom AG
VAR1:xetr,xetr:VAR1,Varta AG
VAS:xetr,xetr:VAS,Voestalpine AG
VBK:xetr,xetr:VBK,VERBIO Vereinigte BioEnergie AG
VBX:xetr,xetr:VBX,Voltabox AG
VG8:xetr,xetr:VG8,Varengold Bank AG
VIB3:xetr,xetr:VIB3,Villeroy & Boch AG Vz
VIH:xetr,xetr:VIH,VIB Vermoegen AG
VNA:xetr,xetr:VNA,Vonovia SE
VNX:xetr,xetr:VNX,NXP Semiconductors NV
VOS:xetr,xetr:VOS,Vossloh AG
VOW:xetr,xetr:VOW,Volkswagen AG Ordin. Share
VOW3:xetr,xetr:VOW3,Volkswagen AG Pref. Share
VQT:xetr,xetr:VQT,va-Q-tec AG
VSC:xetr,xetr:VSC,4SC AG
VT9:xetr,xetr:VT9,VTG AG
VWS:xetr,xetr:VWS,Vestas Wind Systems A/S
WAC:xetr,xetr:WAC,Wacker Neuson SE
WAF:xetr,xetr:WAF,Siltronic AG
WBAG:xetr,xmun:WBAG,Wild Bunch AG
WCH:xetr,xetr:WCH,Wacker Chemie AG
WCMK:xetr,xetr:WCMK,WCM Beteiligungs- und Grundbesitz-AG
WDI:xetr,xetr:WDI,Wirecard AG
WDL:xetr,xetr:WDL,windeln.de AG
WDP:xetr,xetr:WDP,Walt Disney Co.
WEG1:xetr,xetr:WEG1,Westgrund AG
WGF1:xetr,xetr:WGF1,Williams Grand Prix Holdings Plc
WIG1:xetr,xetr:WIG1,Sporttotal AG
