,Name,Ticker
00362:xhkg,China Zenith Chemical Group Ltd,xhkg:00362
00363:xhkg,Shanghai Industrial Holdings Ltd,xhkg:00363
00364:xhkg,Blockchain Group Company Ltd,xhkg:00364
00366:xhkg,Luks Group (Vietnam Holdings) Co. Ltd,xhkg:00366
00368:xhkg,Sinotrans Shipping Ltd,xhkg:00368
00369:xhkg,Wing Tai Properties Ltd,xhkg:00369
00370:xhkg,China Best Group Holding Ltd,xhkg:00370
00371:xhkg,Beijing Enterprises Water Group Ltd,xhkg:00371
00372:xhkg,PT International Development Corporation Ltd,xhkg:00372
00373:xhkg,Allied Group Ltd,xhkg:00373
00375:xhkg,YGM Trading Ltd,xhkg:00375
00376:xhkg,Yunfeng Financial Group Ltd,xhkg:00376
00377:xhkg,Huajan Holdings Ltd,xhkg:00377
00378:xhkg,FDG Kinetic Ltd,xhkg:00378
00381:xhkg,Kiu Hung International Holdings Ltd,xhkg:00381
00382:xhkg,Welling Holding Ltd,xhkg:00382
00383:xhkg,China Medical & HealthCare Group Ltd,xhkg:00383
00384:xhkg,China Gas Holdings Ltd,xhkg:00384
00385:xhkg,Chinney Alliance Group Ltd,xhkg:00385
00386:xhkg,China Petroleum and Chemical Corp.(Sinopec),xhkg:00386
00387:xhkg,Leeport Holdings Ltd,xhkg:00387
00388:xhkg,Hong Kong Exchanges and Clearing Ltd,xhkg:00388
00390:xhkg,China Railway Group Ltd,xhkg:00390
00392:xhkg,Beijing Enterprises Holdings Ltd,xhkg:00392
00395:xhkg,Smartac Group China Holdings Ltd,xhkg:00395
00397:xhkg,Jun Yang Financial Holdings Ltd,xhkg:00397
00398:xhkg,Oriental Watch Holdings Ltd,xhkg:00398
00400:xhkg,Cogobuy Group,xhkg:00400
00401:xhkg,Wanjia Group Holdings Ltd,xhkg:00401
00402:xhkg,Peace Map Holding Ltd,xhkg:00402
00404:xhkg,Hsin Chong Group Holdings Ltd,xhkg:00404
00405:xhkg,Yuexiu Real Estate Investment Trust,xhkg:00405
00408:xhkg,Yip's Chemical Holdings Ltd,xhkg:00408
00410:xhkg,SOHO China Ltd,xhkg:00410
00411:xhkg,Lam Soon (Hong Kong) Ltd,xhkg:00411
00412:xhkg,China Shandong Hi-Speed Financial Group Ltd,xhkg:00412
00417:xhkg,Tse Sui Luen Jewellery,xhkg:00417
00418:xhkg,Founder Holdings Ltd,xhkg:00418
00419:xhkg,Huayi Tencent Entertainment Company Ltd,xhkg:00419
00422:xhkg,Vietnam Manufacturing and Export Processing Ltd,xhkg:00422
00425:xhkg,Minth Group Ltd,xhkg:00425
00426:xhkg,One Media Group Ltd,xhkg:00426
00431:xhkg,Greater China Financial Holdings Ltd,xhkg:00431
00432:xhkg,Pacific Century Premium Developments Ltd,xhkg:00432
00433:xhkg,North Mining Shares Co Ltd,xhkg:00433
00434:xhkg,Boyaa Interactive International Ltd,xhkg:00434
00435:xhkg,Sunlight Real Estate Investment Trust,xhkg:00435
00439:xhkg,KuangChi Science Ltd,xhkg:00439
00440:xhkg,Dah Sing Financial Holdings Ltd,xhkg:00440
00445:xhkg,China Fire Safety Enterprise Group Ltd,xhkg:00445
00449:xhkg,Chigo Holding Ltd,xhkg:00449
00451:xhkg,GCL New Energy Holdings Ltd,xhkg:00451
00459:xhkg,Midland IC&I Ltd,xhkg:00459
00460:xhkg,Sihuan Pharmaceutical Holdings Grp,xhkg:00460
00467:xhkg,United Energy Group Ltd,xhkg:00467
00468:xhkg,Greatview Aseptic Packaging Company Ltd,xhkg:00468
00480:xhkg,HKR Intl Ltd,xhkg:00480
00482:xhkg,Sandmartin International Holdings Ltd,xhkg:00482
00483:xhkg,Bauhaus International (Holdings) Ltd,xhkg:00483
00484:xhkg,Forgame Holdings Ltd,xhkg:00484
00486:xhkg,United Company Rusal Ltd,xhkg:00486
00488:xhkg,Lai Sun Development Co. Ltd,xhkg:00488
00489:xhkg,Dongfeng Motor Group Company Ltd,xhkg:00489
00493:xhkg,GOME Retail Holdings Ltd,xhkg:00493
00494:xhkg,Li & Fung Ltd,xhkg:00494
00497:xhkg,CSI Properties Ltd,xhkg:00497
00498:xhkg,PYI Corporation Ltd,xhkg:00498
00500:xhkg,Frontier Services Group Ltd,xhkg:00500
00503:xhkg,Lansen Pharmaceutical Holdings Ltd,xhkg:00503
00506:xhkg,China Foods Ltd,xhkg:00506
00509:xhkg,Century Sunshine Group Holdings Ltd,xhkg:00509
00510:xhkg,CASH Financial Services Group Ltd,xhkg:00510
00511:xhkg,Television Broadcasts Ltd,xhkg:00511
00512:xhkg,China Grand Pharmaceutical and Hlthcr Hldngs Ltd,xhkg:00512
00517:xhkg,COSCO Shipping International Co. Ltd,xhkg:00517
00518:xhkg,Tungtex (Holdings) Co. Ltd,xhkg:00518
00519:xhkg,Applied Development Holdings Ltd,xhkg:00519
00520:xhkg,Xiabuxiabu Catering Mgmt (China) Hldgs Co. Ltd,xhkg:00520
00521:xhkg,HNA Holding Group Co. Ltd,xhkg:00521
00522:xhkg,ASM Pacific Technology Ltd,xhkg:00522
00525:xhkg,Guangshen Railway Co. Ltd,xhkg:00525
00528:xhkg,Kingdom Holdings Ltd,xhkg:00528
00529:xhkg,SIS International Holdings Ltd,xhkg:00529
00530:xhkg,Goldin Financial Holdings Ltd,xhkg:00530
00531:xhkg,Samson Holding Ltd,xhkg:00531
00533:xhkg,Goldlion Holdings Ltd,xhkg:00533
00535:xhkg,Gemdale Properties and Investment Corp.,xhkg:00535
00538:xhkg,Ajisen (China) Holdings Ltd,xhkg:00538
00539:xhkg,Victory City International Holdings Ltd,xhkg:00539
00540:xhkg,Speedy Global Holdings Ltd,xhkg:00540
00543:xhkg,Pacific Online,xhkg:00543
00546:xhkg,Fufeng Group Ltd,xhkg:00546
00547:xhkg,Digital Domain Holdings Ltd,xhkg:00547
00548:xhkg,Shenzhen Expressway Co. Ltd,xhkg:00548
00551:xhkg,Yue Yuen Industrial (Holdings) Ltd,xhkg:00551
00552:xhkg,China Communications Services Corp. Ltd,xhkg:00552
00553:xhkg,Nanjing Panda Electronics Co Ltd,xhkg:00553
00555:xhkg,REXLot Holdings Ltd,xhkg:00555
00556:xhkg,Pan Asia Environmental Protection Group Ltd,xhkg:00556
00559:xhkg,DeTai New Energy Group Ltd,xhkg:00559
00560:xhkg,Chu Kong Shipping Development Co. Ltd,xhkg:00560
00563:xhkg,Shanghai Industrial Urban Development Group Ltd,xhkg:00563
00564:xhkg,Zhengzhou Coal Mining Machinery Group Co. Ltd - H,xhkg:00564
00566:xhkg,Hanergy Thin Film Power Group Ltd - NOCT,xhkg:00566
00568:xhkg,Shandong Molong Petroleum Machinery Co Ltd,xhkg:00568
00569:xhkg,China Automation Group Ltd,xhkg:00569
00570:xhkg,China Traditional Chinese Medicine Co Ltd,xhkg:00570
00571:xhkg,eSun Holdings Ltd,xhkg:00571
00572:xhkg,Future World Financial Holdings Ltd,xhkg:00572
00573:xhkg,Tao Heung Holdings Ltd,xhkg:00573
00574:xhkg,Pa Shun International Holdings Ltd,xhkg:00574
00575:xhkg,Regent Pacific Group Ltd,xhkg:00575
00576:xhkg,Zhejiang Expressway Co. Ltd,xhkg:00576
00577:xhkg,The 13 Holdings Ltd,xhkg:00577
00579:xhkg,Beijing Jingneng Clean Energy Co Ltd,xhkg:00579
00580:xhkg,Sun.King Power Electronics Group Ltd,xhkg:00580
00581:xhkg,China Oriental Group Co. Ltd,xhkg:00581
00582:xhkg,Landing International Development Ltd,xhkg:00582
00586:xhkg,China Conch Venture Holdings Ltd,xhkg:00586
00588:xhkg,Beijing North Star Co. Ltd,xhkg:00588
00590:xhkg,Luk Fook Holdings (International) Ltd,xhkg:00590
00591:xhkg,China High Precision Automation Group Ltd,xhkg:00591
00592:xhkg,Bossini International Holdings Ltd,xhkg:00592
00595:xhkg,AV Concept Holdings Ltd,xhkg:00595
00598:xhkg,Sinotrans Ltd,xhkg:00598
00602:xhkg,Jiahua Stores Holdings Ltd,xhkg:00602
00603:xhkg,China Oil And Gas Group Ltd,xhkg:00603
00604:xhkg,Shenzhen Investment Ltd,xhkg:00604
00605:xhkg,China Financial Services Holdings Ltd,xhkg:00605
00606:xhkg,China Agri-Industries Holdings Ltd,xhkg:00606
00607:xhkg,Fullshare Holdings Ltd,xhkg:00607
00609:xhkg,Tiande Chemical Holdings Ltd,xhkg:00609
00611:xhkg,China Nuclear Energy Technology Corp Ltd,xhkg:00611
00612:xhkg,China Investment Fund International Holdings Ltd,xhkg:00612
00613:xhkg,Yugang International Ltd,xhkg:00613
00616:xhkg,Eminence Enterprise Ltd,xhkg:00616
00621:xhkg,Taung Gold International Ltd,xhkg:00621
00622:xhkg,Enerchina Holdings Ltd,xhkg:00622
00623:xhkg,Sino Media Holdings Ltd,xhkg:00623
00628:xhkg,Gome Finance Technology Co Ltd,xhkg:00628
00631:xhkg,Sany Heavy Equipment International Holdings,xhkg:00631
00633:xhkg,China All Access (Holdings) Ltd,xhkg:00633
00635:xhkg,Playmates Holdings Ltd,xhkg:00635
00636:xhkg,Kerry Logistics Network Ltd,xhkg:00636
00637:xhkg,Lee Kee Holdings Ltd,xhkg:00637
00639:xhkg,Shougang Resources,xhkg:00639
00641:xhkg,CHTC Fong's Industries Co Ltd,xhkg:00641
00646:xhkg,China Environmental Technology Holdings Ltd,xhkg:00646
00648:xhkg,China Wah Yan Healthcare,xhkg:00648
00650:xhkg,IDG Energy Investment Group Ltd,xhkg:00650
00651:xhkg,China Ocean Industry Group Ltd,xhkg:00651
00656:xhkg,Fosun International Ltd,xhkg:00656
00657:xhkg,G-Vision International (Holdings) Ltd,xhkg:00657
00658:xhkg,China High Speed Transmission Equipment Grp Co.Ltd,xhkg:00658
00659:xhkg,NWS Holdings Ltd,xhkg:00659
00660:xhkg,Wai Chun Mining Industry Group Co Ltd,xhkg:00660
00661:xhkg,China Daye Non-Ferrous Metals Mining Ltd,xhkg:00661
00665:xhkg,Haitong International Securities Group Ltd,xhkg:00665
00666:xhkg,SHK Hong Kong Industries Ltd,xhkg:00666
00669:xhkg,Techtronic Industries Co. Ltd,xhkg:00669
00670:xhkg,China Eastern Airlines,xhkg:00670
00672:xhkg,Zhong An Real Estate Ltd,xhkg:00672
00677:xhkg,Golden Resources Development International Ltd,xhkg:00677
00678:xhkg,Genting Hong Kong Ltd,xhkg:00678
00680:xhkg,Nan Hai Corporation Ltd,xhkg:00680
00681:xhkg,Chinese People Holdings Co Ltd,xhkg:00681
00682:xhkg,Chaoda Modern Agriculture (Holdings) Ltd,xhkg:00682
00683:xhkg,Kerry Properties Ltd,xhkg:00683
00684:xhkg,Allan International Holdings Ltd,xhkg:00684
00686:xhkg,Panda Green Energy Group Ltd,xhkg:00686
00688:xhkg,China Overseas Land & Investment Ltd,xhkg:00688
00689:xhkg,EPI (Holdings) Ltd,xhkg:00689
00691:xhkg,China ShanShui Cement Group,xhkg:00691
